user_id,plan_type,subscription_days,cohort_month,acquisition_channel,cac,is_new_user,active_days_l30,watch_sessions_l30,total_watch_time_l30,active_days_l60,watch_sessions_l60,total_watch_time_l60,active_days_l90,watch_sessions_l90,total_watch_time_l90,completion_rate_l30,binge_sessions_l30,content_diversity_score,avg_session_duration,last_watch_days_ago,trial_user,is_paid,churned_90d
U00033,Family,29,2025-02,paid,74,1,13,16,48,17,21,63,24,30,91,0.49,11,0.54,48,18,1,0,0
U00034,Family,357,2023-08,paid,88,0,21,19,38,25,23,46,32,29,58,0.87,7,0.9,20,11,0,1,0
U00035,Hollywood,494,2025-06,paid,99,0,6,3,9,8,4,12,9,4,14,0.26,6,0.22,37,23,0,1,0
U00036,Hollywood,24,2025-02,organic,0,1,6,6,24,8,8,35,11,11,46,0.85,4,0.78,37,3,1,0,0
U00037,Family,369,2023-09,paid,80,0,10,21,84,12,26,104,20,42,171,0.69,1,0.63,22,4,0,1,0
U00038,Family,95,2023-09,organic,0,0,7,22,44,11,35,70,15,48,96,0.91,14,0.69,43,22,0,1,0
U00039,Hollywood,456,2025-03,paid,137,0,6,18,54,8,26,78,12,37,113,0.27,0,0.62,26,37,0,1,1
U00040,Family,487,2024-08,paid,146,0,5,10,30,7,14,43,10,20,60,0.83,13,0.63,50,31,0,1,0
U00041,Hollywood,122,2024-05,organic,0,0,8,19,57,12,30,91,16,39,118,0.78,10,0.37,28,38,0,1,0
U00042,Family,121,2024-05,paid,92,0,14,22,44,21,34,68,28,44,88,0.78,13,0.35,47,29,0,1,0
U00043,Family,117,2025-05,organic,0,0,13,18,72,19,26,107,25,34,138,0.56,11,0.22,31,16,0,1,0
U00044,Family,415,2024-09,paid,145,0,12,21,84,18,33,132,17,30,121,0.37,3,0.81,22,42,0,1,1
U00045,Family,35,2025-11,paid,92,0,8,6,24,11,8,35,16,12,49,0.77,12,0.85,69,10,0,1,0
U00046,Hollywood,447,2024-07,organic,0,0,19,29,87,30,46,138,37,57,173,0.73,11,0.39,55,40,0,1,0
U00047,Family,98,2023-06,paid,90,0,18,12,24,24,16,32,30,20,40,0.49,11,0.53,33,29,0,1,0
U00048,Family,113,2023-11,paid,124,0,9,7,28,13,10,41,19,15,60,0.22,12,0.85,29,12,0,1,0
U00049,Family,352,2025-07,organic,0,0,18,9,36,21,10,43,29,14,58,0.77,12,0.79,65,27,0,1,0
U00050,Family,144,2025-06,organic,0,0,14,19,57,19,26,78,24,33,99,0.62,3,0.67,48,4,0,1,0
U00051,Hollywood,53,2025-02,paid,114,0,7,16,64,8,20,81,15,35,140,0.28,11,0.87,40,21,0,1,0
U00052,Family,477,2025-02,paid,75,0,2,2,6,3,3,9,3,3,10,0.61,5,0.2,54,16,0,1,0
U00053,Family,147,2025-04,paid,96,0,6,8,32,9,12,48,10,14,57,0.47,1,0.84,27,14,0,1,0
U00054,Family,469,2024-10,organic,0,0,5,7,28,7,10,40,7,11,44,0.64,11,0.5,36,16,0,1,0
U00055,Family,273,2023-03,paid,119,0,7,3,12,10,4,17,13,5,22,0.5,3,0.29,52,39,0,1,1
U00056,Hollywood,439,2024-02,organic,0,0,11,6,12,13,7,14,21,11,23,0.69,7,0.28,52,27,0,1,0
U00057,Hollywood,339,2023-11,paid,113,0,2,4,12,2,5,17,3,7,21,0.66,8,0.52,53,9,0,1,0
U00058,Hollywood,91,2025-05,paid,104,0,2,10,30,2,12,37,3,19,59,0.63,7,0.67,55,26,0,1,0
U00059,Family,124,2024-12,organic,0,0,5,20,40,7,29,59,7,31,62,0.24,7,0.56,44,9,0,1,0
U00060,Hollywood,165,2023-12,organic,0,0,9,6,18,14,9,28,16,10,32,0.76,11,0.65,22,28,0,1,0
U00061,Hollywood,45,2025-09,paid,143,0,9,8,24,14,12,38,12,11,34,0.89,1,0.82,33,9,0,1,0
U00062,Family,263,2023-01,paid,105,0,21,12,24,29,16,33,33,19,38,0.32,5,0.45,56,2,0,1,0
U00063,Family,179,2023-04,organic,0,0,14,18,54,19,24,73,20,26,80,0.87,6,0.78,42,13,0,1,0
U00064,Hollywood,358,2025-07,organic,0,0,9,11,22,12,15,30,12,15,31,0.54,10,0.75,44,28,0,1,0
U00065,Hollywood,395,2024-10,paid,120,0,7,20,40,10,30,60,12,36,72,0.27,10,0.31,58,44,0,1,1
U00066,Family,499,2024-07,paid,86,0,16,22,66,24,33,99,32,44,132,0.78,10,0.52,52,42,0,1,0
U00067,Family,307,2025-01,paid,141,0,10,12,48,12,14,59,20,25,100,0.26,12,0.6,56,17,0,1,0
U00068,Family,246,2025-01,organic,0,0,6,17,34,7,20,41,10,29,58,0.76,10,0.37,31,21,0,1,0
U00069,Family,288,2024-01,paid,79,0,5,6,24,6,7,29,10,12,50,0.67,8,0.65,54,18,0,1,0
U00070,Family,161,2023-07,paid,108,0,2,3,6,2,3,7,3,4,9,0.65,9,0.37,69,32,0,1,0
U00071,Hollywood,436,2025-09,paid,116,0,2,8,32,3,12,50,3,14,58,0.92,13,0.7,59,7,0,1,0
U00072,Family,201,2024-02,paid,137,0,5,6,12,6,7,15,8,10,21,0.21,6,0.4,49,0,0,1,0
U00073,Hollywood,448,2025-01,organic,0,0,12,6,18,18,9,27,21,10,31,0.5,11,0.64,46,29,0,1,0
U00074,Family,19,2024-01,paid,102,1,6,10,40,7,12,48,9,16,66,0.4,12,0.25,44,2,1,0,0
U00075,Family,473,2025-12,organic,0,0,7,9,27,9,12,36,12,15,47,0.88,11,0.79,22,25,0,1,0
U00076,Hollywood,288,2025-07,paid,104,0,13,5,10,18,6,13,22,8,17,0.25,9,0.58,56,44,0,1,1
U00077,Hollywood,379,2023-10,paid,81,0,18,13,52,24,17,71,39,28,112,0.3,2,0.5,63,33,0,1,0
U00078,Family,172,2025-02,organic,0,0,17,16,48,25,23,71,32,30,91,0.53,14,0.34,40,0,0,1,0
U00079,Family,77,2025-12,paid,74,0,10,23,92,13,30,120,14,32,131,0.51,1,0.55,51,0,0,1,0
U00080,Family,474,2024-07,organic,0,0,2,4,8,2,5,11,4,8,16,0.4,7,0.29,67,31,0,1,1
U00081,Family,167,2023-04,paid,123,0,12,29,116,17,41,167,18,43,174,0.22,6,0.6,32,33,0,1,1
U00082,Hollywood,95,2024-09,organic,0,0,14,19,38,20,27,54,26,35,71,0.81,3,0.33,52,11,0,1,0
U00083,Hollywood,97,2024-12,organic,0,0,13,30,120,17,39,158,26,60,242,0.87,7,0.42,32,1,0,1,0
U00084,Family,139,2024-08,organic,0,0,3,3,9,3,3,11,5,5,17,0.37,1,0.42,23,37,0,1,1
U00085,Family,367,2025-01,organic,0,0,10,10,20,12,12,24,16,16,33,0.24,3,0.35,51,8,0,1,0
U00086,Family,445,2024-06,organic,0,0,21,31,62,26,39,78,29,44,88,0.84,1,0.53,33,31,0,1,0
U00087,Hollywood,374,2024-08,organic,0,0,5,4,16,7,5,23,7,6,24,0.61,10,0.8,26,24,0,1,0
U00088,Hollywood,482,2024-10,organic,0,0,9,4,16,11,5,20,18,8,32,0.31,3,0.55,21,38,0,1,1
U00089,Family,249,2024-11,paid,102,0,13,17,51,19,25,77,25,33,101,0.86,12,0.54,57,37,0,1,0
U00090,Family,25,2023-08,paid,115,1,14,23,69,21,35,105,30,50,150,0.75,3,0.52,42,38,1,0,1
U00091,Hollywood,68,2023-05,organic,0,0,4,3,6,6,4,9,7,5,11,0.47,2,0.61,69,6,0,1,0
U00092,Hollywood,163,2023-07,paid,72,0,9,9,18,11,11,22,17,17,34,0.32,3,0.66,44,36,0,1,1
U00093,Family,493,2023-01,paid,91,0,17,24,96,25,35,143,27,39,157,0.45,1,0.71,25,21,0,1,0
U00094,Hollywood,349,2024-10,paid,82,0,9,4,16,11,5,20,16,7,29,0.22,6,0.51,36,37,0,1,1
U00095,Family,173,2023-03,paid,80,0,15,22,88,18,26,105,27,40,160,0.63,8,0.3,26,35,0,1,0
U00096,Family,172,2024-03,paid,90,0,3,8,32,3,10,41,5,13,53,0.78,10,0.36,26,20,0,1,0
U00097,Hollywood,208,2023-01,paid,120,0,5,5,15,6,6,18,10,10,30,0.85,5,0.55,68,22,0,1,0
U00098,Hollywood,34,2024-05,paid,111,0,8,12,48,12,19,76,16,25,100,0.76,13,0.81,58,19,0,1,0
U00099,Hollywood,277,2025-12,organic,0,0,19,23,46,28,34,68,30,37,74,0.39,4,0.5,27,16,0,1,0
U00100,Family,420,2023-03,organic,0,0,21,24,48,27,31,62,45,51,103,0.29,5,0.38,42,11,0,1,0
U00101,Family,411,2024-10,paid,107,0,11,16,48,15,22,67,16,23,71,0.92,11,0.35,49,4,0,1,0
U00102,Family,316,2023-04,organic,0,0,4,16,64,6,24,97,7,29,117,0.46,12,0.66,22,35,0,1,1
U00103,Hollywood,56,2025-10,paid,106,0,14,29,87,17,36,110,27,56,169,0.89,10,0.5,59,28,0,1,0
U00104,Family,98,2024-05,paid,104,0,13,20,80,17,27,108,27,41,167,0.85,0,0.85,20,9,0,1,0
U00105,Family,243,2023-02,paid,118,0,16,27,54,19,33,66,23,39,79,0.4,5,0.56,65,36,0,1,0
U00106,Hollywood,274,2023-10,paid,81,0,8,7,14,11,10,20,13,12,24,0.29,14,0.2,47,18,0,1,0
U00107,Hollywood,431,2023-11,organic,0,0,10,22,66,12,26,79,14,31,93,0.7,12,0.56,35,3,0,1,0
U00108,Family,90,2023-02,paid,105,0,8,4,16,12,6,24,12,6,25,0.57,1,0.57,33,15,0,1,0
U00109,Hollywood,250,2025-06,organic,0,0,5,12,48,7,18,74,7,17,69,0.53,14,0.56,61,12,0,1,0
U00110,Hollywood,270,2023-07,paid,133,0,12,15,60,15,19,77,21,26,105,0.26,2,0.77,47,19,0,1,0
U00111,Family,9,2024-04,paid,99,1,3,5,15,3,6,18,6,10,31,0.29,0,0.25,57,22,1,0,1
U00112,Family,466,2023-11,organic,0,0,4,12,24,5,16,32,7,21,42,0.31,0,0.48,44,25,0,1,0
U00113,Hollywood,242,2025-10,paid,96,0,13,26,104,20,41,166,21,43,173,0.5,8,0.69,28,2,0,1,0
U00114,Family,87,2025-02,organic,0,0,8,9,18,10,11,22,11,13,26,0.36,7,0.63,22,15,0,1,0
U00115,Family,174,2023-08,paid,129,0,4,10,40,5,13,55,7,17,70,0.86,11,0.51,47,27,0,1,0
U00116,Hollywood,4,2023-03,organic,0,1,5,4,12,6,5,15,10,8,24,0.83,11,0.6,44,8,1,0,0
U00117,Family,46,2024-07,paid,145,0,8,8,16,10,10,21,11,11,23,0.31,9,0.53,63,15,0,1,0
U00118,Hollywood,106,2025-04,paid,122,0,8,29,58,10,37,75,16,59,118,0.44,9,0.54,37,26,0,1,0
U00119,Hollywood,312,2025-10,organic,0,0,5,6,24,6,7,31,9,11,45,0.68,14,0.72,57,27,0,1,0
U00120,Hollywood,40,2023-12,paid,103,0,5,4,16,7,5,22,9,7,28,0.21,3,0.84,50,39,0,1,1
U00121,Family,80,2024-04,organic,0,0,4,6,24,6,9,37,7,11,47,0.44,13,0.89,57,9,0,1,0
U00122,Family,138,2023-03,organic,0,0,4,10,30,4,12,37,6,16,48,0.79,7,0.3,30,16,0,1,0
U00123,Family,157,2024-04,paid,94,0,13,15,60,18,20,83,26,30,122,0.59,1,0.79,24,3,0,1,0
U00124,Hollywood,271,2023-03,organic,0,0,5,5,15,7,7,21,9,9,27,0.77,3,0.37,38,34,0,1,0
U00125,Family,169,2024-02,organic,0,0,12,13,39,14,15,46,23,25,77,0.4,14,0.69,47,19,0,1,0
U00126,Family,428,2023-04,organic,0,0,13,20,80,19,30,120,24,38,152,0.64,14,0.57,69,7,0,1,0
U00127,Family,402,2025-04,organic,0,0,3,5,15,4,6,20,4,7,22,0.55,2,0.68,53,19,0,1,0
U00128,Family,29,2023-06,paid,94,1,16,14,28,23,20,40,27,24,48,0.33,0,0.78,27,16,1,0,0
U00129,Family,325,2025-07,paid,138,0,8,11,22,10,15,30,17,23,47,0.58,3,0.34,57,18,0,1,0
U00130,Hollywood,117,2023-07,paid,82,0,7,22,88,9,31,124,11,35,142,0.5,14,0.7,66,15,0,1,0
U00131,Hollywood,73,2023-06,paid,99,0,12,11,33,17,16,48,24,22,67,0.27,9,0.29,61,9,0,1,0
U00132,Family,497,2023-07,organic,0,0,18,19,38,27,28,57,36,38,77,0.21,3,0.64,22,23,0,1,0
U00133,Family,434,2025-07,paid,129,0,10,13,26,15,19,39,15,19,39,0.41,0,0.66,25,36,0,1,1
U00134,Hollywood,435,2023-09,paid,119,0,7,7,21,8,8,25,12,12,37,0.83,1,0.32,61,32,0,1,0
U00135,Hollywood,3,2023-09,organic,0,1,11,8,32,13,9,39,19,13,55,0.47,2,0.59,68,33,1,0,1
U00136,Family,470,2025-12,organic,0,0,8,11,44,10,14,56,14,19,79,0.79,13,0.64,24,15,0,1,0
U00137,Family,452,2025-12,paid,93,0,18,31,124,23,40,163,25,44,176,0.39,5,0.36,58,35,0,1,0
U00138,Family,177,2023-09,paid,102,0,6,11,33,7,13,41,12,23,70,0.36,10,0.53,20,9,0,1,0
U00139,Family,234,2024-05,organic,0,0,12,22,44,15,28,57,19,35,70,0.52,14,0.53,46,40,0,1,1
U00140,Hollywood,118,2024-03,organic,0,0,7,23,69,9,32,96,10,36,108,0.5,9,0.6,64,29,0,1,0
U00141,Family,122,2024-06,organic,0,0,10,6,18,15,9,27,16,9,29,0.34,10,0.82,26,33,0,1,1
U00142,Family,166,2023-09,paid,104,0,14,14,56,21,21,84,24,24,97,0.75,0,0.59,56,17,0,1,0
U00143,Hollywood,172,2025-12,organic,0,0,22,12,24,33,18,36,39,21,43,0.9,5,0.83,24,32,0,1,0
U00144,Family,422,2025-07,paid,115,0,7,25,50,9,35,70,14,52,105,0.74,11,0.83,53,26,0,1,0
U00145,Hollywood,449,2025-07,paid,85,0,19,17,51,23,20,62,33,30,91,0.27,9,0.27,61,8,0,1,0
U00146,Family,370,2023-03,organic,0,0,18,27,81,27,41,124,32,48,145,0.75,14,0.42,61,16,0,1,0
U00147,Family,7,2023-03,organic,0,1,5,11,44,6,14,56,8,18,72,0.76,9,0.61,45,29,1,0,0
U00148,Hollywood,415,2024-12,paid,115,0,13,16,64,20,25,101,27,33,134,0.53,10,0.61,33,5,0,1,0
U00149,Family,341,2024-10,paid,76,0,9,28,112,11,36,145,18,58,235,0.27,4,0.7,60,41,0,1,1
U00150,Hollywood,336,2024-01,paid,91,0,7,15,45,9,20,62,15,32,97,0.2,10,0.47,46,2,0,1,0
U00151,Family,285,2023-02,organic,0,0,6,16,48,8,21,64,10,26,80,0.47,7,0.56,43,2,0,1,0
U00152,Hollywood,383,2025-06,paid,143,0,4,9,36,5,13,53,7,16,67,0.29,12,0.25,23,17,0,1,0
U00153,Family,135,2023-10,paid,106,0,10,21,63,12,25,75,21,44,134,0.38,5,0.48,61,8,0,1,0
U00154,Family,269,2025-06,paid,104,0,13,16,64,20,24,99,18,22,91,0.78,8,0.31,37,1,0,1,0
U00155,Hollywood,185,2025-09,organic,0,0,5,5,20,6,6,24,7,7,30,0.31,14,0.69,22,13,0,1,0
U00156,Hollywood,106,2025-07,paid,76,0,2,5,10,2,6,13,2,7,14,0.34,8,0.87,35,23,0,1,0
U00157,Hollywood,74,2024-11,paid,148,0,19,25,50,26,35,70,32,42,84,0.85,4,0.61,64,18,0,1,0
U00158,Family,261,2025-07,organic,0,0,16,22,66,20,27,82,32,44,134,0.57,1,0.85,59,5,0,1,0
U00159,Hollywood,405,2025-11,paid,134,0,13,23,69,18,32,98,25,44,134,0.77,12,0.31,23,2,0,1,0
U00160,Hollywood,425,2024-08,paid,105,0,2,3,12,2,4,16,3,5,20,0.54,10,0.87,44,8,0,1,0
U00161,Hollywood,469,2025-10,organic,0,0,6,8,16,8,11,22,10,13,26,0.33,4,0.59,52,35,0,1,1
U00162,Family,376,2025-03,paid,144,0,9,23,92,13,35,141,17,45,180,0.31,8,0.54,20,19,0,1,0
U00163,Hollywood,49,2025-05,paid,96,0,3,11,33,3,13,40,5,21,63,0.46,2,0.34,44,15,0,1,0
U00164,Family,412,2023-09,paid,70,0,3,11,44,3,14,56,4,17,71,0.38,6,0.27,41,19,0,1,0
U00165,Hollywood,336,2024-08,paid,96,0,6,19,38,8,28,56,10,33,66,0.85,1,0.74,20,7,0,1,0
U00166,Family,69,2024-08,paid,123,0,7,10,20,10,15,30,10,15,30,0.62,3,0.21,53,33,0,1,0
U00167,Hollywood,462,2025-03,paid,82,0,15,20,40,23,31,62,31,42,84,0.61,11,0.82,66,17,0,1,0
U00168,Family,485,2024-05,paid,140,0,7,4,16,9,5,21,14,8,32,0.36,4,0.21,47,7,0,1,0
U00169,Hollywood,323,2025-09,paid,145,0,2,4,16,2,5,23,4,8,34,0.84,13,0.36,26,27,0,1,0
U00170,Family,78,2024-03,organic,0,0,10,8,16,12,10,20,18,15,30,0.71,11,0.89,52,32,0,1,0
U00171,Family,151,2025-02,paid,107,0,15,12,48,20,16,66,32,25,103,0.77,1,0.63,63,44,0,1,0
U00172,Family,241,2023-09,organic,0,0,9,4,16,14,6,24,16,7,28,0.32,11,0.73,58,39,0,1,1
U00173,Family,138,2023-02,paid,101,0,5,9,18,6,12,25,9,17,35,0.91,4,0.27,33,34,0,1,0
U00174,Family,482,2025-06,paid,119,0,12,7,14,17,10,20,19,11,23,0.75,8,0.71,40,21,0,1,0
U00175,Hollywood,499,2025-04,paid,136,0,14,14,28,18,18,37,28,28,57,0.81,4,0.69,25,23,0,1,0
U00176,Family,68,2023-01,paid,80,0,2,7,14,2,10,20,3,11,22,0.85,0,0.74,22,42,0,1,1
U00177,Family,444,2023-10,organic,0,0,7,17,68,9,24,97,15,36,147,0.42,5,0.84,39,16,0,1,0
U00178,Hollywood,67,2024-04,organic,0,0,6,5,10,8,7,14,9,7,15,0.48,14,0.65,61,20,0,1,0
U00179,Hollywood,394,2024-09,paid,82,0,3,7,21,4,10,31,5,12,38,0.52,5,0.69,50,26,0,1,0
U00180,Hollywood,227,2025-07,paid,124,0,12,23,92,15,28,115,21,41,165,0.58,0,0.67,36,2,0,1,0
U00181,Hollywood,409,2025-06,organic,0,0,4,4,12,6,6,18,8,8,24,0.84,3,0.35,53,9,0,1,0
U00182,Hollywood,408,2023-07,organic,0,0,7,8,24,10,12,37,15,17,52,0.91,4,0.35,23,37,0,1,0
U00183,Hollywood,224,2023-09,organic,0,0,10,5,15,13,6,20,15,7,23,0.65,9,0.22,37,9,0,1,0
U00184,Hollywood,293,2025-01,organic,0,0,18,16,64,21,19,77,35,31,124,0.58,5,0.48,32,22,0,1,0
U00185,Family,134,2025-11,paid,141,0,10,9,36,14,12,51,16,14,59,0.34,8,0.81,53,24,0,1,0
U00186,Family,130,2024-09,paid,111,0,9,16,48,12,23,69,15,27,82,0.39,4,0.56,43,0,0,1,0
U00187,Hollywood,292,2023-03,organic,0,0,9,7,28,11,9,36,18,14,57,0.3,6,0.79,41,23,0,1,0
U00188,Hollywood,167,2024-10,paid,86,0,7,10,20,9,13,27,11,17,34,0.34,12,0.87,37,43,0,1,1
U00189,Hollywood,422,2025-01,organic,0,0,17,26,52,23,36,72,28,43,86,0.91,13,0.51,38,22,0,1,0
U00190,Hollywood,426,2023-10,paid,122,0,13,19,76,18,26,106,19,29,116,0.39,12,0.62,51,37,0,1,1
U00191,Hollywood,271,2024-12,paid,141,0,8,9,18,9,11,22,11,12,25,0.48,10,0.61,49,7,0,1,0
U00192,Family,54,2023-01,organic,0,0,3,5,10,4,7,15,5,8,17,0.37,12,0.6,68,43,0,1,1
U00193,Family,201,2024-05,paid,87,0,18,25,100,25,35,140,33,46,186,0.21,7,0.51,42,27,0,1,0
U00194,Hollywood,20,2023-12,paid,135,1,19,27,108,22,32,130,36,52,210,0.83,5,0.7,33,36,1,0,0
U00195,Hollywood,376,2024-03,organic,0,0,9,29,116,12,38,154,14,47,188,0.26,14,0.86,25,18,0,1,0
U00196,Family,113,2024-12,paid,142,0,4,11,22,5,15,31,7,19,39,0.56,9,0.8,25,0,0,1,0
U00197,Hollywood,443,2023-02,organic,0,0,6,7,14,8,10,20,11,13,26,0.37,9,0.35,64,24,0,1,0
U00198,Family,17,2025-05,paid,72,1,9,10,30,11,12,38,17,19,58,0.66,14,0.33,67,2,1,0,0
U00199,Hollywood,385,2025-04,organic,0,0,15,24,72,18,29,87,32,52,157,0.67,10,0.71,43,3,0,1,0
U00200,Family,177,2025-08,organic,0,0,15,16,32,20,21,43,21,23,46,0.82,0,0.52,67,30,0,1,0
U00201,Hollywood,172,2024-01,paid,79,0,18,17,68,23,22,90,29,27,110,0.71,2,0.32,32,29,0,1,0
U00202,Family,359,2023-11,paid,132,0,10,16,32,15,25,50,18,29,59,0.23,14,0.77,31,28,0,1,0
U00203,Family,157,2024-08,paid,122,0,20,27,81,30,41,123,31,41,125,0.69,4,0.29,38,12,0,1,0
U00204,Family,286,2023-03,paid,144,0,11,11,44,14,14,58,15,15,61,0.21,2,0.56,32,16,0,1,0
U00205,Hollywood,90,2024-01,organic,0,0,5,10,20,7,14,28,10,21,43,0.54,1,0.69,69,24,0,1,0
U00206,Family,391,2025-11,paid,88,0,13,8,32,20,12,50,24,14,59,0.38,7,0.59,33,37,0,1,1
U00207,Family,490,2023-12,paid,138,0,7,13,39,10,19,59,13,25,77,0.92,4,0.21,40,42,0,1,0
U00208,Family,81,2024-03,organic,0,0,13,19,38,16,24,48,24,36,72,0.51,7,0.25,51,28,0,1,0
U00209,Family,477,2024-10,organic,0,0,5,5,15,7,7,21,7,7,22,0.21,6,0.81,68,10,0,1,0
U00210,Family,242,2025-02,paid,128,0,14,19,38,18,25,50,23,31,62,0.76,10,0.23,48,6,0,1,0
U00211,Family,46,2025-07,organic,0,0,8,10,20,11,14,28,14,17,35,0.44,13,0.29,32,43,0,1,1
U00212,Family,475,2023-12,paid,70,0,18,10,30,25,13,41,30,16,50,0.87,2,0.87,68,16,0,1,0
U00213,Family,171,2024-08,paid,91,0,14,22,44,19,30,60,30,47,95,0.26,14,0.22,63,11,0,1,0
U00214,Hollywood,424,2025-01,paid,139,0,14,7,21,21,10,32,30,15,45,0.37,7,0.88,68,0,0,1,0
U00215,Family,377,2024-02,paid,74,0,8,9,27,10,11,35,15,17,51,0.71,12,0.54,31,26,0,1,0
U00216,Family,260,2025-06,paid,80,0,16,27,54,22,38,77,23,39,78,0.43,0,0.65,21,42,0,1,1
U00217,Family,414,2025-04,paid,113,0,8,8,32,11,11,44,12,12,49,0.71,13,0.42,24,3,0,1,0
U00218,Hollywood,257,2023-03,paid,129,0,11,6,24,15,8,34,17,9,38,0.92,7,0.54,60,12,0,1,0
U00219,Hollywood,455,2023-03,organic,0,0,13,15,60,20,23,93,21,24,97,0.47,8,0.82,50,13,0,1,0
U00220,Family,367,2024-10,paid,127,0,12,13,39,14,15,46,20,22,67,0.61,6,0.43,34,6,0,1,0
U00221,Hollywood,281,2025-06,paid,77,0,9,16,64,14,25,101,19,34,138,0.29,3,0.85,55,11,0,1,0
U00222,Hollywood,123,2025-09,paid,89,0,5,8,24,6,11,33,10,16,49,0.61,8,0.25,29,6,0,1,0
U00223,Hollywood,154,2025-04,paid,143,0,6,20,80,7,26,105,10,35,143,0.7,13,0.47,44,22,0,1,0
U00224,Hollywood,484,2023-03,paid,99,0,8,7,14,12,11,22,16,14,28,0.92,13,0.43,60,43,0,1,0
U00225,Family,149,2023-12,paid,126,0,4,5,20,5,6,27,5,7,29,0.22,13,0.33,46,42,0,1,1
